department,first_name,last_name,email,password
SCM,Paul,Thomas,carlos46@student.cuk.ac.ke,_i0#Renv(1_N
SCM,Steven,Harrison,jayalvarez@student.cuk.ac.ke,a$_b2LfNm@FA
SBE,Cory,Mayo,anthonyweaver@student.cuk.ac.ke,*78Xnbsz)LN5
SCCD,Seth,Ruiz,vfinley@student.cuk.ac.ke,D!(8NRuqlQcV
SBE,Christopher,Lucas,sjohnson@student.cuk.ac.ke,FF0Fs74xi$P^
SBE,Sarah,Mitchell,scottwalters@student.cuk.ac.ke,A^1BixzwtL4I
SCCD,Brett,Clay,kennethallen@student.cuk.ac.ke,s5(A#xFJ!+Hg
SCCD,Pamela,Howell,reyesdouglas@student.cuk.ac.ke,)JArdVNX2aHX
SCCD,Amy,Murphy,debra58@student.cuk.ac.ke,Yh*g9JNx0cbC
SCM,James,Sanders,cgoodman@student.cuk.ac.ke,bIQIHX7lBU(4
department,first_name,last_name,email,password
SCCD,Michael,Hughes,greg18@student.cuk.ac.ke,8Mh0Wu1qwGVe
SBE,Brandon,Walker,jackieclark@student.cuk.ac.ke,SFKkpozq4QPC
SCM,Eric,Bryant,caldwelljohn@student.cuk.ac.ke,Q7lGCT7y0Nsi
SCCD,Amber,Coleman,camachobrian@student.cuk.ac.ke,6CZnx7Jp0knX
SCCD,Michael,Davies,troy32@student.cuk.ac.ke,CZ5Djw9u3o6h
SCM,Brandy,Miller,alvarezjeffrey@student.cuk.ac.ke,Ir9YjjRvrjwi
SCCD,Jason,Vazquez,dperry@student.cuk.ac.ke,yNoM3PPwN70K
SBE,Benjamin,Gross,jeffreymiller@student.cuk.ac.ke,0hvlo9jMz7N2
SCM,Janet,Watson,laurie80@student.cuk.ac.ke,V4oalwnifnHF
SBE,David,Frank,samuelsanders@student.cuk.ac.ke,jkJTIrz89f2E
